jornada,equipo,partidos_jugados,goles_marcados_pp,goles_encajados_pp,victorias_pp,empates_pp,Amarillo_pp,Amarillo-Rojo_pp,Córners_pp,Duelos_pp,Faltas cometidas_pp,Fuera de juego_pp,Pases exitosos_pp,Pases ges._pp,Posesión de balón en %_pp,Rojo_pp,Tiros a puerta_pp,goles_marcados_racha,goles_encajados_racha,victoria_racha,empate_racha,derrota_racha,Amarillo_racha,Amarillo-Rojo_racha,Córners_racha,Duelos_racha,Faltas cometidas_racha,Fuera de juego_racha,Pases exitosos_racha,Pases ges._racha,Posesión de balón en %_racha,Rojo_racha,Tiros a puerta_racha
1,Athletic Club,1,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Athletic Club,2,1.0,1.5,0.0,0.5,4.0,0.0,5.0,42.57,15.0,2.0,80.72,415.0,61.65,0.0,7.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,5.0,42.57,15.0,2.0,80.72,415.0,61.65,0.0,7.0
3,Athletic Club,3,1.0,1.0,0.3333333333333333,0.3333333333333333,4.5,0.0,5.5,42.285,15.5,3.5,80.62,341.0,49.935,0.0,8.0,1.0,1.5,0.0,0.5,0.5,4.5,0.0,5.5,42.285,15.5,3.5,80.62,341.0,49.935,0.0,8.0
4,Athletic Club,4,0.75,1.0,0.25,0.25,3.3333333333333335,0.0,5.333333333333333,43.89666666666667,15.0,2.6666666666666665,80.13,360.0,50.080000000000005,0.0,9.666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.3333333333333335,0.0,5.333333333333333,43.89666666666667,15.0,2.6666666666666665,80.13,360.0,50.080000000000005,0.0,9.666666666666666
5,Athletic Club,5,1.2,1.2,0.4,0.2,3.25,0.0,4.5,42.225,14.5,2.25,81.72749999999999,411.0,50.55,0.0,9.25,0.75,1.0,0.25,0.25,0.5,3.25,0.0,4.5,42.225,14.5,2.25,81.72749999999999,411.0,50.55,0.0,9.25
6,Athletic Club,6,1.5,1.1666666666666667,0.5,0.16666666666666666,3.0,0.0,4.2,44.596,14.0,2.0,79.402,391.0,48.532,0.2,9.2,1.2,1.2,0.4,0.2,0.4,3.0,0.0,4.2,44.596,14.0,2.0,79.402,391.0,48.532,0.2,9.2
7,Athletic Club,7,1.5714285714285714,1.0,0.5714285714285714,0.14285714285714285,3.0,0.0,4.0,43.79,14.333333333333334,1.8333333333333333,79.93833333333333,372.8333333333333,46.76333333333333,0.16666666666666666,9.333333333333334,1.6,1.2,0.6,0.0,0.4,2.8,0.0,3.8,44.034000000000006,14.2,1.8,79.782,364.4,43.786,0.2,9.8
8,Athletic Club,8,1.5,1.0,0.5,0.25,3.0,0.0,4.0,43.79,14.333333333333334,1.8333333333333333,79.93833333333333,372.8333333333333,46.76333333333333,0.16666666666666666,9.333333333333334,1.8,0.8,0.8,0.0,0.2,2.25,0.0,3.25,44.542500000000004,13.75,1.0,79.5975,388.75,45.1775,0.25,10.0
9,Athletic Club,9,1.4444444444444444,1.1111111111111112,0.4444444444444444,0.2222222222222222,2.5714285714285716,0.0,4.0,43.784285714285716,13.142857142857142,2.0,79.39571428571428,363.2857142857143,46.05714285714286,0.2857142857142857,9.857142857142858,1.8,1.0,0.6,0.2,0.2,2.0,0.0,3.0,43.7,11.75,1.5,78.845,365.75,43.040000000000006,0.5,10.0
10,Athletic Club,10,1.7,1.1,0.5,0.2,2.375,0.125,3.625,43.94875,13.125,1.75,79.58625,353.25,45.082499999999996,0.25,10.25,2.0,1.2,0.6,0.2,0.2,1.5,0.25,2.75,45.6725,11.75,1.25,77.445,295.5,39.615,0.5,11.25
11,Athletic Club,11,1.5454545454545454,1.0,0.45454545454545453,0.2727272727272727,2.3333333333333335,0.1111111111111111,3.7777777777777777,44.867777777777775,13.333333333333334,1.5555555555555556,80.05555555555556,364.1111111111111,46.22777777777778,0.2222222222222222,10.222222222222221,2.2,1.0,0.6,0.2,0.2,1.5,0.25,3.25,45.2075,12.5,1.0,80.8725,330.5,43.3475,0.25,11.5
12,Athletic Club,12,1.5,1.0,0.4166666666666667,0.3333333333333333,2.2,0.1,4.8,44.556,13.2,1.8,80.514,379.8,47.775999999999996,0.2,11.2,1.6,0.8,0.4,0.4,0.2,1.0,0.25,6.0,45.705,11.5,1.75,81.3775,390.25,49.294999999999995,0.25,14.0
13,Athletic Club,13,1.4615384615384615,1.0,0.38461538461538464,0.38461538461538464,2.0,0.09090909090909091,4.909090909090909,45.75363636363636,12.818181818181818,1.9090909090909092,80.89181818181818,387.3636363636364,47.93181818181818,0.18181818181818182,11.727272727272727,1.4,1.0,0.2,0.6,0.2,0.8,0.2,6.0,48.11,11.0,2.0,82.036,404.8,49.333999999999996,0.2,14.6
14,Athletic Club,14,1.4285714285714286,0.9285714285714286,0.42857142857142855,0.35714285714285715,2.1666666666666665,0.08333333333333333,4.916666666666667,45.949999999999996,12.75,2.0,81.39083333333333,398.9166666666667,49.13583333333333,0.16666666666666666,12.166666666666666,1.4,1.0,0.2,0.6,0.2,1.6,0.2,6.2,48.982000000000006,12.2,2.0,84.184,448.8,53.446000000000005,0.0,15.4
15,Athletic Club,15,1.4666666666666666,0.9333333333333333,0.4666666666666667,0.3333333333333333,2.230769230769231,0.07692307692307693,4.846153846153846,45.92307692307692,13.153846153846153,1.9230769230769231,80.93923076923078,390.53846153846155,48.6476923076923,0.15384615384615385,12.153846153846153,1.4,0.6,0.4,0.6,0.0,2.0,0.0,6.8,49.082,13.2,2.2,83.104,450.2,54.352,0.0,15.2
16,Athletic Club,16,1.5,0.875,0.5,0.3125,2.0714285714285716,0.07142857142857142,5.0,46.88428571428572,12.785714285714286,1.7857142857142858,80.57571428571428,392.2142857142857,48.87,0.14285714285714285,12.142857142857142,1.0,0.6,0.4,0.6,0.0,1.6,0.0,7.2,50.513999999999996,11.8,2.2,81.512,442.8,53.626,0.0,15.6
17,Athletic Club,17,1.4705882352941178,0.8823529411764706,0.47058823529411764,0.35294117647058826,2.066666666666667,0.06666666666666667,4.866666666666666,46.73733333333333,12.933333333333334,1.7333333333333334,80.66666666666667,390.8,48.532666666666664,0.13333333333333333,12.133333333333333,1.4,0.6,0.6,0.4,0.0,1.8,0.0,5.0,51.1,12.4,1.6,80.97200000000001,412.8,50.04600000000001,0.0,14.0
18,Athletic Club,18,1.5,0.8888888888888888,0.5,0.3333333333333333,2.0625,0.0625,4.8125,46.62375,13.1875,1.75,80.456875,388.6875,48.499375,0.125,11.9375,1.4,0.6,0.6,0.4,0.0,2.2,0.0,4.6,48.538,14.0,1.4,79.5,391.6,49.748000000000005,0.0,12.4
19,Athletic Club,19,1.5263157894736843,0.8947368421052632,0.5263157894736842,0.3157894736842105,2.0,0.058823529411764705,4.705882352941177,46.60058823529412,13.176470588235293,1.6470588235294117,80.55411764705883,387.52941176470586,48.567647058823525,0.11764705882352941,12.0,1.6,0.6,0.8,0.2,0.0,1.6,0.0,4.2,48.162,14.2,0.8,78.546,360.2,47.204,0.0,11.6
20,Athletic Club,20,1.55,0.9,0.55,0.3,2.0555555555555554,0.05555555555555555,4.722222222222222,45.79944444444445,13.61111111111111,1.7777777777777777,80.58222222222223,383.8888888888889,48.02444444444445,0.1111111111111111,11.833333333333334,1.8,0.8,0.8,0.2,0.0,1.6,0.0,4.4,45.477999999999994,14.8,1.4,79.654,366.6,46.404,0.0,11.0
21,Athletic Club,21,1.4761904761904763,0.8571428571428571,0.5238095238095238,0.3333333333333333,1.9473684210526316,0.05263157894736842,4.684210526315789,46.42526315789474,13.210526315789474,1.6842105263157894,80.55947368421053,385.1578947368421,47.80105263157895,0.10526315789473684,11.947368421052632,1.8,0.8,0.8,0.2,0.0,1.6,0.0,3.8,45.14,14.4,1.4,80.514,365.4,44.808,0.0,11.4
22,Athletic Club,22,1.5,0.9090909090909091,0.5,0.36363636363636365,1.9,0.05,5.25,46.3725,13.05,1.6,80.90650000000001,391.5,48.486000000000004,0.1,12.8,1.4,0.8,0.6,0.4,0.0,1.4,0.0,6.4,45.278,13.4,1.2,81.626,393.6,48.346,0.0,14.8
23,Athletic Club,23,1.565217391304348,0.8695652173913043,0.5217391304347826,0.34782608695652173,1.8571428571428572,0.047619047619047616,5.333333333333333,46.303333333333335,13.380952380952381,1.619047619047619,80.80380952380953,390.3333333333333,48.434285714285714,0.09523809523809523,12.761904761904763,1.6,1.0,0.6,0.4,0.0,1.2,0.0,7.0,45.278,14.0,1.2,81.914,395.6,48.226,0.0,15.4
24,Athletic Club,24,1.5416666666666667,0.875,0.5,0.375,1.7727272727272727,0.045454545454545456,5.590909090909091,46.76272727272727,13.090909090909092,1.5454545454545454,80.89863636363636,389.59090909090907,48.27409090909091,0.09090909090909091,13.227272727272727,1.8,0.8,0.6,0.4,0.0,1.0,0.0,8.6,47.314,12.8,1.2,82.07000000000001,396.6,47.275999999999996,0.0,17.4
25,Athletic Club,25,1.76,0.88,0.52,0.36,1.7391304347826086,0.043478260869565216,5.6521739130434785,46.92652173913043,12.869565217391305,1.5217391304347827,80.94565217391305,391.95652173913044,48.673478260869565,0.08695652173913043,13.26086956521739,1.6,0.8,0.4,0.6,0.0,0.6,0.0,9.0,50.984,10.2,0.6,82.25399999999999,421.0,51.010000000000005,0.0,18.4
26,Athletic Club,26,1.6923076923076923,0.8846153846153846,0.5,0.34615384615384615,1.75,0.041666666666666664,5.583333333333333,46.6175,12.75,1.5416666666666667,81.2275,392.5833333333333,48.92250000000001,0.08333333333333333,13.916666666666666,2.6,0.8,0.4,0.6,0.0,1.0,0.0,9.0,47.348,11.0,1.0,83.76599999999999,420.8,53.184000000000005,0.0,21.4
27,Athletic Club,27,1.6666666666666667,0.8888888888888888,0.48148148148148145,0.37037037037037035,1.8,0.04,5.44,46.563199999999995,12.56,1.48,81.3348,395.28,48.964,0.08,13.96,2.6,1.0,0.4,0.4,0.2,1.4,0.0,6.2,47.326,10.6,1.0,83.048,410.4,50.876,0.0,18.6
28,Athletic Club,28,1.6428571428571428,0.8571428571428571,0.5,0.35714285714285715,1.8076923076923077,0.038461538461538464,5.346153846153846,46.603846153846156,12.307692307692308,1.4615384615384615,81.32115384615385,395.84615384615387,49.16269230769231,0.07692307692307693,13.73076923076923,2.4,0.8,0.4,0.4,0.2,1.6,0.0,5.4,47.866,7.8,0.8,83.494,419.0,52.222,0.0,17.8
29,Athletic Club,29,1.5862068965517242,0.8275862068965517,0.4827586206896552,0.3793103448275862,1.8148148148148149,0.037037037037037035,5.37037037037037,46.47629629629629,12.333333333333334,1.5185185185185186,81.07074074074073,391.6666666666667,48.90481481481482,0.07407407407407407,13.555555555555555,2.0,0.8,0.4,0.4,0.2,2.0,0.0,4.4,45.216,9.0,1.4,81.828,400.8,51.67999999999999,0.0,15.0
30,Athletic Club,30,1.5333333333333334,0.8,0.4666666666666667,0.4,1.7857142857142858,0.03571428571428571,5.285714285714286,46.38428571428572,12.321428571428571,1.5357142857142858,81.26214285714286,396.10714285714283,49.260714285714286,0.07142857142857142,13.464285714285714,1.8,0.6,0.4,0.4,0.2,2.0,0.0,3.6,43.89,9.8,1.6,82.718,415.2,51.962,0.0,14.4
31,Athletic Club,31,1.5806451612903225,0.8064516129032258,0.4838709677419355,0.3870967741935484,1.7586206896551724,0.034482758620689655,5.275862068965517,46.3348275862069,12.344827586206897,1.5172413793103448,81.35448275862069,394.6896551724138,49.13551724137931,0.06896551724137931,13.379310344827585,0.4,0.4,0.2,0.6,0.2,1.8,0.0,3.8,44.977999999999994,10.4,1.4,81.96400000000001,404.8,50.158,0.0,10.8
32,Athletic Club,32,1.53125,0.8125,0.46875,0.375,1.8333333333333333,0.03333333333333333,5.333333333333333,46.457,12.333333333333334,1.5666666666666667,81.32233333333333,395.1333333333333,49.23833333333334,0.06666666666666667,13.366666666666667,1.0,0.4,0.4,0.6,0.0,2.0,0.0,4.8,45.926,11.2,2.0,81.26,394.4,50.61,0.0,10.4
33,Athletic Club,33,1.5151515151515151,0.7878787878787878,0.48484848484848486,0.36363636363636365,1.8387096774193548,0.03225806451612903,5.193548387096774,46.403225806451616,12.419354838709678,1.5161290322580645,81.08387096774193,389.19354838709677,48.70935483870968,0.06451612903225806,13.03225806451613,0.8,0.4,0.4,0.4,0.2,2.0,0.0,4.4,45.36,13.0,1.8,79.85000000000001,354.6,46.352000000000004,0.0,9.4
34,Athletic Club,34,1.4705882352941178,0.7647058823529411,0.47058823529411764,0.38235294117647056,1.8125,0.03125,5.125,46.26125,12.4375,1.59375,81.065,390.15625,48.7103125,0.0625,13.03125,0.8,0.4,0.4,0.4,0.2,1.8,0.0,3.8,45.1,13.0,2.0,81.03400000000002,382.0,47.660000000000004,0.0,10.2
35,Athletic Club,35,1.457142857142857,0.7428571428571429,0.4857142857142857,0.37142857142857144,1.8181818181818181,0.030303030303030304,5.0606060606060606,46.2230303030303,12.454545454545455,1.5757575757575757,80.87878787878788,388.24242424242425,48.554545454545455,0.06060606060606061,12.727272727272727,0.8,0.4,0.4,0.4,0.2,2.0,0.0,3.8,45.32000000000001,13.2,1.8,78.732,344.2,44.6,0.0,8.6
36,Athletic Club,36,1.4722222222222223,0.7222222222222222,0.5,0.3611111111111111,1.7941176470588236,0.029411764705882353,5.176470588235294,46.36794117647059,12.588235294117647,1.5294117647058822,80.92323529411765,389.3529411764706,48.83676470588235,0.058823529411764705,12.676470588235293,1.0,0.4,0.6,0.2,0.2,2.0,0.0,4.6,46.56,14.0,1.6,78.422,358.4,47.104,0.0,8.6
37,Athletic Club,37,1.4594594594594594,0.7027027027027027,0.5135135135135135,0.35135135135135137,1.7428571428571429,0.02857142857142857,5.171428571428572,46.31914285714286,12.428571428571429,1.542857142857143,80.84428571428572,390.65714285714284,49.19571428571428,0.05714285714285714,12.571428571428571,0.8,0.2,0.6,0.2,0.2,1.2,0.0,4.2,45.492,13.0,1.4,77.976,363.8,48.94,0.0,7.8
38,Athletic Club,38,1.4210526315789473,0.7631578947368421,0.5,0.34210526315789475,1.7222222222222223,0.027777777777777776,5.111111111111111,46.217777777777776,12.527777777777779,1.6388888888888888,80.91000000000001,391.3888888888889,49.11083333333333,0.05555555555555555,12.5,1.0,0.0,0.8,0.2,0.0,1.0,0.0,4.6,45.068,13.2,2.4,79.832,405.0,51.6,0.0,9.2
1,Atlético de Madrid,1,2.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Atlético de Madrid,2,2.5,1.0,0.5,0.5,3.0,0.0,3.0,49.37,12.0,2.0,87.39,571.0,53.21,0.0,9.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,3.0,49.37,12.0,2.0,87.39,571.0,53.21,0.0,9.0
3,Atlético de Madrid,3,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.0,0.0,2.0,50.82,11.5,2.0,87.475,506.5,48.92,0.0,10.0,2.5,1.0,0.5,0.5,0.0,2.0,0.0,2.0,50.82,11.5,2.0,87.475,506.5,48.92,0.0,10.0
4,Atlético de Madrid,4,1.5,0.5,0.5,0.5,1.3333333333333333,0.0,4.333333333333333,50.74666666666667,9.666666666666666,3.3333333333333335,87.68666666666667,528.3333333333334,52.32,0.0,15.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,1.3333333333333333,0.0,4.333333333333333,50.74666666666667,9.666666666666666,3.3333333333333335,87.68666666666667,528.3333333333334,52.32,0.0,15.0
5,Atlético de Madrid,5,1.8,0.4,0.6,0.4,1.25,0.0,3.75,53.7575,9.5,3.0,86.64,520.5,51.25,0.0,13.5,1.5,0.5,0.5,0.5,0.0,1.25,0.0,3.75,53.7575,9.5,3.0,86.64,520.5,51.25,0.0,13.5
6,Atlético de Madrid,6,1.6666666666666667,0.5,0.5,0.5,1.2,0.0,4.4,53.146,9.6,2.6,86.338,514.6,51.574,0.0,13.6,1.8,0.4,0.6,0.4,0.0,1.2,0.0,4.4,53.146,9.6,2.6,86.338,514.6,51.574,0.0,13.6
7,Atlético de Madrid,7,1.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855,1.0,0.0,4.333333333333333,54.44166666666666,10.0,2.6,84.83833333333332,496.5,50.76833333333334,0.0,13.0,1.6,0.2,0.6,0.4,0.0,0.6,0.0,4.6,55.455999999999996,9.6,2.75,84.328,481.6,50.279999999999994,0.0,13.8
8,Atlético de Madrid,8,1.5,0.5,0.5,0.5,1.1428571428571428,0.0,4.142857142857143,54.31,10.142857142857142,2.6,84.16,489.42857142857144,49.53142857142858,0.0,12.285714285714286,1.2,0.2,0.6,0.4,0.0,0.8,0.0,5.0,55.706,9.6,3.0,82.834,482.6,49.775999999999996,0.0,13.2
9,Atlético de Madrid,9,1.4444444444444444,0.5555555555555556,0.4444444444444444,0.5555555555555556,1.375,0.0,4.25,53.615,10.25,2.5,84.6125,495.75,49.61125,0.125,12.25,1.4,0.4,0.6,0.4,0.0,1.4,0.0,4.2,55.336,10.6,1.6666666666666667,82.768,476.2,47.986000000000004,0.2,10.6
10,Atlético de Madrid,10,1.6,0.6,0.5,0.5,1.4444444444444444,0.0,3.888888888888889,52.62222222222223,10.11111111111111,2.4285714285714284,83.50777777777779,474.0,48.19111111111111,0.1111111111111111,11.333333333333334,1.4,0.6,0.4,0.6,0.0,1.6,0.0,4.0,51.714,10.6,1.6666666666666667,81.002,436.8,45.744,0.2,9.6
11,Atlético de Madrid,11,1.4545454545454546,0.6363636363636364,0.45454545454545453,0.45454545454545453,1.8,0.0,4.3,52.96,10.5,2.125,83.747,481.9,49.21,0.1,12.6,1.4,0.8,0.4,0.6,0.0,2.4,0.0,4.2,52.774,11.4,1.3333333333333333,81.156,449.2,46.846,0.2,11.6
12,Atlético de Madrid,12,1.5,0.5833333333333334,0.5,0.4166666666666667,1.8181818181818181,0.0,4.818181818181818,51.88272727272727,9.909090909090908,2.0,83.16181818181818,483.3636363636364,49.58,0.09090909090909091,12.363636363636363,1.2,0.8,0.4,0.4,0.2,2.8,0.0,5.4,48.812,9.8,1.25,81.15,467.6,48.154,0.2,11.6
13,Atlético de Madrid,13,1.4615384615384615,0.5384615384615384,0.5384615384615384,0.38461538461538464,1.75,0.0,5.166666666666667,50.98166666666666,10.166666666666666,1.9,83.25333333333333,486.5,50.057500000000005,0.08333333333333333,12.583333333333334,1.4,0.8,0.4,0.4,0.2,2.6,0.0,6.6,46.321999999999996,10.2,1.2,81.98400000000001,482.4,50.794,0.2,13.0
14,Atlético de Madrid,14,1.5,0.5714285714285714,0.5714285714285714,0.35714285714285715,1.8461538461538463,0.0,4.923076923076923,50.136923076923075,10.615384615384615,1.8181818181818181,83.66846153846154,484.3076923076923,49.871538461538464,0.07692307692307693,12.307692307692308,1.4,0.6,0.6,0.2,0.2,2.6,0.0,6.0,44.571999999999996,11.2,1.0,82.15799999999999,466.0,50.288000000000004,0.0,12.4
15,Atlético de Madrid,15,1.7333333333333334,0.5333333333333333,0.6,0.3333333333333333,2.0,0.0,4.928571428571429,49.975,11.142857142857142,1.9166666666666667,83.76642857142858,490.2857142857143,50.88,0.07142857142857142,12.214285714285714,1.6,0.6,0.8,0.0,0.2,3.0,0.0,6.8,45.21,13.0,1.2,84.232,519.6,55.720000000000006,0.0,13.8
16,Atlético de Madrid,16,1.875,0.6875,0.625,0.3125,2.0,0.0,4.933333333333334,49.32733333333333,11.133333333333333,2.0,84.02666666666667,497.06666666666666,51.058,0.06666666666666667,12.266666666666667,2.0,0.4,0.8,0.0,0.2,2.4,0.0,6.2,42.062,12.4,1.8,84.586,527.4,54.754,0.0,11.6
17,Atlético de Madrid,17,1.8235294117647058,0.6470588235294118,0.6470588235294118,0.29411764705882354,2.125,0.0,4.9375,49.40125,11.125,1.9285714285714286,84.0825,506.625,51.313125,0.0625,12.375,2.8,0.8,1.0,0.0,0.0,2.8,0.0,5.2,43.94199999999999,13.8,1.8,86.108,557.8,55.126,0.0,12.4
18,Atlético de Madrid,18,1.8333333333333333,0.6666666666666666,0.6666666666666666,0.2777777777777778,2.176470588235294,0.0,5.117647058823529,49.67352941176471,11.235294117647058,1.8666666666666667,83.97705882352942,504.05882352941177,51.53588235294118,0.058823529411764705,12.294117647058824,2.6,0.8,1.0,0.0,0.0,3.2,0.0,5.0,46.534000000000006,13.8,1.8,85.71400000000001,546.2,55.084,0.0,11.6
19,Atlético de Madrid,19,1.7894736842105263,0.631578947368421,0.6842105263157895,0.2631578947368421,2.1666666666666665,0.0,5.0,49.84888888888889,11.055555555555555,2.0,83.67333333333335,496.22222222222223,50.94111111111111,0.05555555555555555,11.88888888888889,2.8,1.0,1.0,0.0,0.0,3.0,0.0,5.2,49.1,12.2,2.4,83.686,527.2,53.722,0.0,10.8
20,Atlético de Madrid,20,1.7,0.65,0.65,0.25,2.210526315789474,0.0,4.947368421052632,49.886315789473684,10.894736842105264,1.9411764705882353,83.75210526315789,497.7894736842105,50.93157894736842,0.05263157894736842,11.736842105263158,2.6,0.8,1.0,0.0,0.0,2.8,0.0,5.0,49.638,10.2,2.0,83.71200000000002,518.8,51.076,0.0,10.4
21,Atlético de Madrid,21,1.6666666666666667,0.6666666666666666,0.6190476190476191,0.2857142857142857,2.25,0.0,5.15,50.192,10.65,1.9444444444444444,83.9405,502.95,51.527499999999996,0.05,12.1,1.6,1.0,0.8,0.0,0.2,3.0,0.0,5.8,52.786,9.2,1.8,83.682,520.6,52.936,0.0,11.6
22,Atlético de Madrid,22,1.6818181818181819,0.6363636363636364,0.6363636363636364,0.2727272727272727,2.3333333333333335,0.0,5.142857142857143,50.209047619047624,10.619047619047619,1.9444444444444444,84.10142857142857,505.6666666666667,51.74666666666667,0.047619047619047616,12.476190476190476,1.0,0.6,0.6,0.2,0.2,3.0,0.0,5.8,52.794000000000004,9.0,2.0,84.162,502.6,53.134,0.0,12.8
23,Atlético de Madrid,23,1.6521739130434783,0.6521739130434783,0.6086956521739131,0.30434782608695654,2.3181818181818183,0.0,5.363636363636363,50.19954545454546,10.545454545454545,1.9473684210526316,84.19590909090908,502.40909090909093,51.75,0.045454545454545456,12.681818181818182,1.2,0.6,0.6,0.2,0.2,2.8,0.0,6.2,51.988,8.2,2.25,84.94,496.8,52.477999999999994,0.0,14.0
24,Atlético de Madrid,24,1.625,0.6666666666666666,0.5833333333333334,0.3333333333333333,2.347826086956522,0.0,5.173913043478261,49.96608695652174,10.652173913043478,1.9,84.31608695652174,498.5652173913044,51.348260869565216,0.043478260869565216,12.565217391304348,1.0,0.6,0.4,0.4,0.2,3.0,0.0,5.8,50.388,9.2,1.5,86.63,507.0,52.814,0.0,15.0
25,Atlético de Madrid,25,1.68,0.64,0.6,0.32,2.375,0.0,5.041666666666667,50.286249999999995,10.541666666666666,1.8571428571428572,84.16666666666667,489.25,50.76583333333334,0.08333333333333333,12.416666666666666,1.0,0.8,0.2,0.6,0.2,3.0,0.0,5.4,51.806,9.2,1.5,85.742,456.8,50.136,0.2,15.0
26,Atlético de Madrid,26,1.6538461538461537,0.6153846153846154,0.6153846153846154,0.3076923076923077,2.4,0.0,4.84,50.4708,10.76,1.8636363636363635,84.3204,491.36,50.7512,0.08,12.36,1.6,0.6,0.4,0.6,0.0,3.0,0.0,3.6,51.586,11.2,1.5,85.84,445.0,47.646,0.2,13.4
27,Atlético de Madrid,27,1.6296296296296295,0.6666666666666666,0.5925925925925926,0.2962962962962963,2.3846153846153846,0.0,4.884615384615385,50.635,10.615384615384615,1.9565217391304348,84.30461538461539,490.38461538461536,50.723846153846154,0.07692307692307693,12.346153846153847,1.6,0.4,0.6,0.4,0.0,2.6,0.0,3.8,52.424,10.6,2.0,85.15799999999999,426.2,46.428,0.2,11.8
28,Atlético de Madrid,28,1.6428571428571428,0.7857142857142857,0.5714285714285714,0.2857142857142857,2.3703703703703702,0.0,4.851851851851852,50.66555555555556,10.74074074074074,2.0416666666666665,84.29925925925926,490.22222222222223,51.01037037037037,0.1111111111111111,12.037037037037036,1.4,0.8,0.4,0.4,0.2,2.6,0.0,2.6,52.715999999999994,11.6,2.4,84.75399999999999,436.6,47.756,0.4,9.2
29,Atlético de Madrid,29,1.6206896551724137,0.7931034482758621,0.5517241379310345,0.3103448275862069,2.3214285714285716,0.0,4.892857142857143,50.69285714285714,10.714285714285714,2.04,84.03857142857143,482.9642857142857,50.534642857142856,0.10714285714285714,11.857142857142858,1.6,1.4,0.4,0.2,0.4,2.2,0.0,3.6,54.036,11.0,2.6,82.762,411.2,46.791999999999994,0.4,8.6
30,Atlético de Madrid,30,1.6333333333333333,0.8,0.5666666666666667,0.3,2.2758620689655173,0.0,4.827586206896552,50.66896551724138,10.827586206896552,2.1538461538461537,84.13137931034483,487.1034482758621,50.79379310344827,0.10344827586206896,11.89655172413793,1.6,1.4,0.4,0.2,0.4,1.8,0.0,3.8,52.50599999999999,12.2,3.4,83.962,476.8,50.928,0.2,9.4
31,Atlético de Madrid,31,1.7096774193548387,0.8387096774193549,0.5806451612903226,0.2903225806451613,2.3333333333333335,0.0,4.9,50.53966666666667,10.866666666666667,2.1538461538461537,84.27533333333334,487.9,50.910333333333334,0.1,11.933333333333334,1.4,1.6,0.4,0.2,0.4,2.0,0.0,5.2,50.884,11.4,3.75,84.05,470.6,51.705999999999996,0.2,9.8
32,Atlético de Madrid,32,1.65625,0.84375,0.5625,0.28125,2.2903225806451615,0.0,4.903225806451613,50.586774193548386,10.870967741935484,2.1481481481481484,84.5058064516129,490.96774193548384,50.990967741935485,0.0967741935483871,12.32258064516129,2.0,2.0,0.4,0.2,0.4,1.8,0.0,5.0,50.336,12.2,3.25,85.552,494.0,52.379999999999995,0.2,12.2
33,Atlético de Madrid,33,1.696969696969697,0.8181818181818182,0.5757575757575758,0.2727272727272727,2.25,0.0,4.875,50.5371875,10.9375,2.107142857142857,84.4621875,491.90625,51.161875,0.09375,12.15625,1.8,1.8,0.4,0.2,0.4,1.6,0.0,5.0,49.844,12.0,2.5,85.34200000000001,501.0,51.98,0.0,12.8
34,Atlético de Madrid,34,1.6470588235294117,0.7941176470588235,0.5588235294117647,0.29411764705882354,2.1818181818181817,0.0,4.909090909090909,50.61000000000001,10.848484848484848,2.103448275862069,84.5160606060606,488.45454545454544,50.93727272727273,0.09090909090909091,12.090909090909092,2.0,1.0,0.6,0.2,0.2,1.4,0.0,5.0,50.146,11.6,2.5,87.19,519.2,53.19199999999999,0.0,13.4
35,Atlético de Madrid,35,1.7142857142857142,0.7714285714285715,0.5714285714285714,0.2857142857142857,2.176470588235294,0.0,4.911764705882353,50.92617647058824,10.911764705882353,2.033333333333333,84.44294117647058,487.6764705882353,51.21970588235294,0.08823529411764706,12.0,1.8,0.8,0.6,0.2,0.2,1.6,0.0,5.4,52.41799999999999,11.4,1.25,86.25,491.0,53.69,0.0,12.6
36,Atlético de Madrid,36,1.6666666666666667,0.8055555555555556,0.5555555555555556,0.2777777777777778,2.1142857142857143,0.0,4.857142857142857,50.793142857142854,10.8,2.064516129032258,84.6377142857143,492.0571428571429,51.42428571428571,0.08571428571428572,12.028571428571428,2.2,0.6,0.6,0.2,0.2,0.8,0.0,4.6,52.314,10.4,1.6,86.812,517.0,54.507999999999996,0.0,12.6
37,Atlético de Madrid,37,1.7297297297297298,0.8108108108108109,0.5675675675675675,0.2702702702702703,2.0833333333333335,0.0,4.861111111111111,50.878055555555555,10.805555555555555,2.125,84.74944444444445,493.0833333333333,51.71611111111111,0.08333333333333333,11.944444444444445,1.4,0.6,0.4,0.2,0.4,0.8,0.0,4.6,52.684000000000005,10.4,2.0,86.25999999999999,506.2,56.212,0.0,9.6
