jornada,equipo,partidos_jugados,goles_marcados_pp,goles_encajados_pp,victorias_pp,empates_pp,Amarillo_pp,Amarillo-Rojo_pp,Córners_pp,Duelos_pp,Faltas cometidas_pp,Fuera de juego_pp,Pases exitosos_pp,Pases ges._pp,Posesión de balón en %_pp,Rojo_pp,Tiros a puerta_pp,goles_marcados_racha,goles_encajados_racha,victoria_racha,empate_racha,derrota_racha,Amarillo_racha,Amarillo-Rojo_racha,Córners_racha,Duelos_racha,Faltas cometidas_racha,Fuera de juego_racha,Pases exitosos_racha,Pases ges._racha,Posesión de balón en %_racha,Rojo_racha,Tiros a puerta_racha
14,Espanyol Barcelona,14,0.9285714285714286,1.9285714285714286,0.21428571428571427,0.14285714285714285,3.0,0.0,3.727272727272727,51.74636363636364,13.545454545454545,1.4,77.16636363636364,310.6363636363636,43.14,0.0,9.090909090909092,1.0,2.2,0.2,0.2,0.6,2.6666666666666665,0.0,4.666666666666667,53.836666666666666,16.666666666666668,3.5,73.32666666666665,253.0,39.056666666666665,0.0,7.666666666666667
15,Espanyol Barcelona,15,1.0666666666666667,1.8666666666666667,0.26666666666666666,0.13333333333333333,3.0,0.0,3.6666666666666665,50.60916666666666,14.0,1.4,77.02333333333333,303.0833333333333,41.995,0.0,9.083333333333334,0.8,2.8,0.0,0.2,0.8,3.3333333333333335,0.0,4.333333333333333,46.43,18.333333333333332,3.5,73.57666666666667,242.0,34.44,0.0,8.0
16,Espanyol Barcelona,16,1.0,1.8125,0.25,0.125,2.923076923076923,0.0,3.5384615384615383,50.426923076923075,13.923076923076923,1.4545454545454546,76.27538461538462,292.0,40.95461538461538,0.0,9.076923076923077,1.2,2.2,0.2,0.2,0.6,3.0,0.0,3.3333333333333335,46.583333333333336,15.333333333333334,4.0,70.11666666666666,186.0,29.06,0.0,9.333333333333334
17,Espanyol Barcelona,17,0.9411764705882353,1.7058823529411764,0.23529411764705882,0.17647058823529413,3.142857142857143,0.0,3.5,50.362142857142864,14.0,1.4166666666666667,76.04428571428572,300.2857142857143,41.950714285714284,0.0,9.071428571428571,1.2,2.0,0.2,0.2,0.6,3.75,0.0,3.25,47.3175,15.25,3.0,70.8475,241.5,35.519999999999996,0.0,9.25
18,Espanyol Barcelona,18,0.8888888888888888,1.6666666666666667,0.2222222222222222,0.16666666666666666,3.1333333333333333,0.0,3.6,50.415333333333336,13.933333333333334,1.6923076923076923,76.33666666666666,302.06666666666666,42.09733333333334,0.0,9.066666666666666,1.0,1.4,0.2,0.4,0.4,3.5,0.0,3.25,46.755,15.0,2.6666666666666665,74.055,278.5,39.23,0.0,9.0
19,Espanyol Barcelona,19,0.8947368421052632,1.631578947368421,0.21052631578947367,0.21052631578947367,3.0625,0.0,3.5,49.875,14.0625,1.7142857142857142,76.71375,303.75,42.2,0.0,9.0625,0.8,1.4,0.2,0.2,0.6,3.2,0.0,3.0,45.758,15.2,2.5,75.718,288.6,40.132,0.0,9.0
20,Espanyol Barcelona,20,0.95,1.6,0.25,0.2,3.0,0.0,3.764705882352941,49.682352941176475,14.117647058823529,1.7333333333333334,77.2764705882353,311.1764705882353,42.743529411764705,0.0,9.411764705882353,0.8,0.8,0.2,0.4,0.4,3.0,0.0,4.0,47.458000000000006,14.4,2.4,77.884,330.6,44.54,0.0,10.2
21,Espanyol Barcelona,21,0.9523809523809523,1.5714285714285714,0.23809523809523808,0.23809523809523808,3.0,0.0,3.764705882352941,49.682352941176475,14.117647058823529,1.7333333333333334,77.2764705882353,311.1764705882353,42.743529411764705,0.0,9.411764705882353,0.6,0.8,0.2,0.4,0.4,3.25,0.0,4.5,47.2625,14.75,2.5,80.53,373.5,48.5575,0.0,10.5
22,Espanyol Barcelona,22,0.9545454545454546,1.5,0.2727272727272727,0.22727272727272727,3.0555555555555554,0.0,3.611111111111111,49.94388888888889,14.11111111111111,1.7333333333333334,76.335,304.1111111111111,42.09833333333333,0.0,9.222222222222221,0.8,0.8,0.2,0.6,0.2,2.75,0.0,4.0,48.48,14.5,3.0,77.35249999999999,317.5,42.614999999999995,0.0,9.75
23,Espanyol Barcelona,23,0.9565217391304348,1.5217391304347827,0.2608695652173913,0.21739130434782608,3.0,0.0,3.473684210526316,49.91105263157895,14.105263157894736,1.625,76.37684210526317,299.8421052631579,41.444210526315786,0.0,9.0,1.0,0.8,0.4,0.4,0.2,2.5,0.0,3.0,48.019999999999996,14.75,1.3333333333333333,76.5275,291.5,38.995000000000005,0.0,8.75
