jornada,equipo,Localía,partidos_jugados,goles_marcados_pp,goles_encajados_pp,victorias_pp,empates_pp,derrotas_pp,Amarillo_pp,Amarillo-Rojo_pp,Córners_pp,Duelos_pp,Faltas cometidas_pp,Fuera de juego_pp,Pases exitosos_pp,Pases ges._pp,Posesión de balón en %_pp,Rojo_pp,Tiros a puerta_pp
1,Athletic Club,0,1,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,
2,Athletic Club,1,2,1.0,1.5,0.0,0.5,0.5,4.0,0.0,5.0,42.57,15.0,2.0,80.72,415.0,61.65,0.0,7.0
3,Athletic Club,0,3,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.5,0.0,5.5,42.285,15.5,3.5,80.62,341.0,49.935,0.0,8.0
4,Athletic Club,0,4,0.75,1.0,0.25,0.25,0.5,3.3333333333333335,0.0,5.333333333333333,43.89666666666667,15.0,2.6666666666666665,80.13,360.0,50.080000000000005,0.0,9.666666666666666
5,Athletic Club,1,5,1.2,1.2,0.4,0.2,0.4,3.25,0.0,4.5,42.225,14.5,2.25,81.72749999999999,411.0,50.55,0.0,9.25
6,Athletic Club,0,6,1.5,1.1666666666666667,0.5,0.16666666666666666,0.3333333333333333,3.0,0.0,4.2,44.596,14.0,2.0,79.402,391.0,48.532,0.2,9.2
7,Athletic Club,1,7,1.5714285714285714,1.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,3.0,0.0,4.0,43.79,14.333333333333334,1.8333333333333333,79.93833333333333,372.8333333333333,46.76333333333333,0.16666666666666666,9.333333333333334
8,Athletic Club,0,8,1.5,1.0,0.5,0.25,0.25,3.0,0.0,4.0,43.79,14.333333333333334,1.8333333333333333,79.93833333333333,372.8333333333333,46.76333333333333,0.16666666666666666,9.333333333333334
9,Athletic Club,1,9,1.4444444444444444,1.1111111111111112,0.4444444444444444,0.2222222222222222,0.3333333333333333,2.5714285714285716,0.0,4.0,43.784285714285716,13.142857142857142,2.0,79.39571428571428,363.2857142857143,46.05714285714286,0.2857142857142857,9.857142857142858
10,Athletic Club,0,10,1.7,1.1,0.5,0.2,0.3,2.375,0.125,3.625,43.94875,13.125,1.75,79.58625,353.25,45.082499999999996,0.25,10.25
11,Athletic Club,1,11,1.5454545454545454,1.0,0.45454545454545453,0.2727272727272727,0.2727272727272727,2.3333333333333335,0.1111111111111111,3.7777777777777777,44.867777777777775,13.333333333333334,1.5555555555555556,80.05555555555556,364.1111111111111,46.22777777777778,0.2222222222222222,10.222222222222221
12,Athletic Club,0,12,1.5,1.0,0.4166666666666667,0.3333333333333333,0.25,2.2,0.1,4.8,44.556,13.2,1.8,80.514,379.8,47.775999999999996,0.2,11.2
13,Athletic Club,1,13,1.4615384615384615,1.0,0.38461538461538464,0.38461538461538464,0.23076923076923078,2.0,0.09090909090909091,4.909090909090909,45.75363636363636,12.818181818181818,1.9090909090909092,80.89181818181818,387.3636363636364,47.93181818181818,0.18181818181818182,11.727272727272727
14,Athletic Club,0,14,1.4285714285714286,0.9285714285714286,0.42857142857142855,0.35714285714285715,0.21428571428571427,2.1666666666666665,0.08333333333333333,4.916666666666667,45.949999999999996,12.75,2.0,81.39083333333333,398.9166666666667,49.13583333333333,0.16666666666666666,12.166666666666666
15,Athletic Club,1,15,1.4666666666666666,0.9333333333333333,0.4666666666666667,0.3333333333333333,0.2,2.230769230769231,0.07692307692307693,4.846153846153846,45.92307692307692,13.153846153846153,1.9230769230769231,80.93923076923078,390.53846153846155,48.6476923076923,0.15384615384615385,12.153846153846153
16,Athletic Club,0,16,1.5,0.875,0.5,0.3125,0.1875,2.0714285714285716,0.07142857142857142,5.0,46.88428571428572,12.785714285714286,1.7857142857142858,80.57571428571428,392.2142857142857,48.87,0.14285714285714285,12.142857142857142
17,Athletic Club,1,17,1.4705882352941178,0.8823529411764706,0.47058823529411764,0.35294117647058826,0.17647058823529413,2.066666666666667,0.06666666666666667,4.866666666666666,46.73733333333333,12.933333333333334,1.7333333333333334,80.66666666666667,390.8,48.532666666666664,0.13333333333333333,12.133333333333333
18,Athletic Club,1,18,1.5,0.8888888888888888,0.5,0.3333333333333333,0.16666666666666666,2.0625,0.0625,4.8125,46.62375,13.1875,1.75,80.456875,388.6875,48.499375,0.125,11.9375
19,Athletic Club,0,19,1.5263157894736843,0.8947368421052632,0.5263157894736842,0.3157894736842105,0.15789473684210525,2.0,0.058823529411764705,4.705882352941177,46.60058823529412,13.176470588235293,1.6470588235294117,80.55411764705883,387.52941176470586,48.567647058823525,0.11764705882352941,12.0
20,Athletic Club,1,20,1.55,0.9,0.55,0.3,0.15,2.0555555555555554,0.05555555555555555,4.722222222222222,45.79944444444445,13.61111111111111,1.7777777777777777,80.58222222222223,383.8888888888889,48.02444444444445,0.1111111111111111,11.833333333333334
21,Athletic Club,0,21,1.4761904761904763,0.8571428571428571,0.5238095238095238,0.3333333333333333,0.14285714285714285,1.9473684210526316,0.05263157894736842,4.684210526315789,46.42526315789474,13.210526315789474,1.6842105263157894,80.55947368421053,385.1578947368421,47.80105263157895,0.10526315789473684,11.947368421052632
22,Athletic Club,1,22,1.5,0.9090909090909091,0.5,0.36363636363636365,0.13636363636363635,1.9,0.05,5.25,46.3725,13.05,1.6,80.90650000000001,391.5,48.486000000000004,0.1,12.8
